en|The scales lie over the body like tiles and cover the entire body with the exception
en|the inside of the arms. At first glance, pangolins look like walking pinecones
nl|Schubdieren, ook wel termieteneters genoemd (Manidae), vormen een familie van zoogdieren.Het is de enige
nl|De schubben liggen als dakpannen over het lichaam en bedekken het gehele lijf met uitzondering
en|the inside of the arms. At first glance, pangolins look like walking pinecones.
nl|de binnenzijde van de armen. Schubdieren zien er op het eerste gezicht uit als lopende dennenappels.
en|Common symptoms are fever, cough, and shortness of breath. Some of the infected people have mild
en|a new station building, designed by architect Paul Nouille, was put into use. The service home of
nl|Veelvoorkomende symptomen zijn koorts, hoesten en kortademigheid. Een deel van de besmette personen heeft milde
nl|werd een nieuw stationsgebouw, ontworpen door architect Paul Nouille, in gebruik genomen. De dienstwoning van 
nl|zijn de loketten van dit station gesloten en is het een stopplaats geworden. Voor de
en|Pangolins, also known as termite eaters (Manidae), are a family of mammals, it is the only one 
nl|werd het dienstgebouw opgetrokken, dat zich eveneens onder een schilddak bevindt, langs de straatzijde verspringend
en|The scientific name of the species was first proposed by Edward Hallowell in 1857. It was originally
en|Both viviparous and oviparous specimens of this species are known. A clutch or a cast
nl|De wetenschappelijke naam van de soort werd voor het eerst voorgesteld door Edward Hallowell in 1857. Oorspronkelijk werd
nl|De langstaartskink heeft een bruine bovenzijde, met donkerbruine of zwarte flanken en sterk glanzende schubben.
nl|Van deze soort zijn zowel levendbarende als eierleggende exemplaren bekend. Een legsel of een worp
en|the ticket offices of this station are closed and it has become a stopping place. For the
en|the service building, which is also located under a hip roof, was staggered along the street side
nl|Hierbij kreeg Lodewijk het kleine oostelijke deel en Wenceslaus het resterende deel met de steden Haynau, Goldberg en Lüben.
